latitude,longitude,distances,ind,fotograma,section,classes,ind2,scores,boxes,class_id,area,center,height,width,total_area,fail_id_section,class_id_readable
,,,73,107,,Grieta Vertical,84,0.40467751026153564,"[0.5349660515785217, 0.7100101113319397, 0.6524361968040466, 0.8930680751800537]",D00,4954.486025762344,"(512.9850196838379, 213.7324047088623)",65.90086698532104,75.18089294433594,230400,197,Grieta Vertical
,,,74,109,,Grieta Vertical,85,0.5190476775169373,"[0.5688776969909668, 0.7518712282180786, 0.6665263175964355, 0.903076708316803]",D00,3401.857511338312,"(529.5833396911621, 222.37272262573242)",54.43397283554077,62.4951171875,230400,198,Grieta Vertical
,,,74,109,,Grieta Vertical,87,0.27572110295295715,"[0.43845874071121216, 0.5582895278930664, 0.5405707359313965, 0.7166398167610168]",D00,3725.444491775761,"(407.97739028930664, 176.22530579566956)",57.00610399246216,65.35167694091797,230400,198,Grieta Vertical
,,,74,109,,Desenfoque de linea blanca,86,0.2847157418727875,"[0.5455794334411621, 0.6669610738754272, 0.6802384257316589, 0.8442158102989197]",D44,5499.404740340378,"(483.576602935791, 220.6472146511078)",63.811705112457275,86.18175506591797,230400,52,Desenfoque de linea blanca
,,,75,110,,Desenfoque de linea blanca,88,0.3960935175418854,"[0.0004519224166870117, 0.6858813762664795, 0.10051047801971436, 0.9030987024307251]",D44,5007.61771959078,"(508.47362518310547, 18.173232078552246)",78.19823741912842,64.0374755859375,230400,52,Desenfoque de linea blanca
,,,76,111,,Grieta Vertical,89,0.5086683630943298,"[0.49230414628982544, 0.6147039532661438, 0.6675797700881958, 0.9065515398979187]",D00,11785.828101335028,"(486.8017578125, 208.77910494804382)",105.06513118743896,112.17639923095703,230400,199,Grieta Vertical
,,,77,112,,Grieta Vertical,90,0.42787405848503113,"[0.5918005704879761, 0.756237268447876, 0.6851357221603394, 0.8837763667106628]",D00,2742.6542009503464,"(524.8043632507324, 229.84853267669678)",45.91407537460327,59.7344970703125,230400,199,Grieta Vertical
,,,78,113,,Grieta Vertical,91,0.40952977538108826,"[0.5120547413825989, 0.6337700486183167, 0.6885941624641418, 0.8931664228439331]",D00,10550.865193676145,"(488.6196708679199, 216.11680269241333)",93.38269472122192,112.9852294921875,230400,199,Grieta Vertical
,,,78,113,,Grieta Vertical,92,0.3612419664859772,"[0.2797830104827881, 0.5924937129020691, 0.3585905432701111, 0.7803107500076294]",D00,3410.2419401581756,"(439.2974281311035, 114.90723967552185)",67.61413335800171,50.43682098388672,230400,199,Grieta Vertical
,,,79,114,,Desenfoque de linea blanca,93,0.5787935256958008,"[0.5379246473312378, 0.69183349609375, 0.6872469186782837, 0.9138851761817932]",D44,7639.43298674094,"(513.8299751281738, 220.53088188171387)",79.93860483169556,95.56625366210938,230400,53,Desenfoque de linea blanca
,,,80,115,,Grieta Vertical,94,0.300866961479187,"[0.5398855209350586, 0.6839569211006165, 0.6643108129501343, 0.8885632157325745]",D00,5865.568809454999,"(503.2064437866211, 216.75534009933472)",73.65826606750488,79.63218688964844,230400,200,Grieta Vertical
,,,81,117,,Grieta e Intervalo Lineal Transversal,96,0.2703045904636383,"[0.3646678328514099, 0.7244102358818054, 0.46749168634414673, 0.7641326189041138]",D10,941.0477166185956,"(476.33371353149414, 149.7887134552002)",14.300057888031006,65.80726623535156,230400,348,Grieta e Intervalo Lineal Transversal
,,,81,117,,Desenfoque de linea blanca,95,0.4042776823043823,"[0.4872358441352844, 0.5482966303825378, 0.598706066608429, 0.7804787755012512]",D44,5963.073493403499,"(425.2081298828125, 195.4695439338684)",83.58557224273682,71.3409423828125,230400,54,Desenfoque de linea blanca
